issue_id,type,url_or_pattern,element,expected_owner,actual_owner,file_path,evidence,minimum_action,status
C001,duplicate_owner,/tours/from-{origin}/{slug},"FAQPage mainEntity[0:9] + NIB + SE.35 + nama dokter + klaim harga",jvto-ekosistem,jvto-web,src/lib/tourFaqs.ts,"File berisi NIB_NUMBER='1102230032918', nomor SE.35/K2/BIDTEK.1/KSA/1/2024, nama dokter, 'From IDR 1M/pax'; header file mengklaim dirinya 'single source of truth'",Pindahkan fakta kanonik ke jvto-ekosistem; web hanya mengonsumsi,open
C002,render_missing,/tours/from-{origin}/{slug},FAQPage Question dari narrative_claims,jvto-ekosistem,jvto-ekosistem,src/lib/schemas/buildTourSchemas.ts:72,"claimPairs = narrativeClaims.map(c => ({question: c.pillar, answer: c.core_claim})) — 6 node per halaman x 17 = 102; name berisi label pilar bukan pertanyaan; nol tampil di HTML",Berhenti mengemit pilar sebagai Question atau render blok yang sesuai,open
C003,render_missing,/tours/from-{origin}/{slug},FAQPage Question dari product-contract faqs,jvto-ekosistem,jvto-ekosistem,src/lib/schemas/buildTourSchemas.ts:73,"dbPairs = fullData.faqs — 13-71 node per halaman; nol tampil di HTML; ijen-2d1n: 28 schema vs 9 tampil",Render atau berhenti mengemit,open
C004,source_output_mismatch,/tours/from-{origin}/{slug},TouristAttraction.url,jvto-ekosistem,jvto-ekosistem,src/lib/schemas/buildTourSchemas.ts,"70 URL /destinations/{slug} unik direferensikan; 5 -> 200, 50 -> 404, 15 -> 410. Entitas juga bukan atraksi (hotel/transfer/makan siang)",Hentikan emisi node untuk step yang tidak punya halaman kanonik,open
C005,missing_owner,/why-jvto/reviews/{id},Product,-,jvto-web,src/app/(website)/why-jvto/reviews/[id]/page.tsx,"222 node identik: name 'Java Volcano Tour Package', url /tours, @id .../reviews/{id}#product — tidak merepresentasikan produk nyata",Hapus node Product stub atau tautkan ke produk nyata via packageSlug,open
C006,render_missing,/entity,"Organization JVTO + WebSite",jvto-ekosistem,-,src/app/(website)/entity/page.tsx,"Satu-satunya dari 296 halaman tanpa @id .../#organization dan tanpa WebSite; hanya 16 organisasi eksternal",Emit node organisasi JVTO + WebSite seperti 295 halaman lain,open
C007,duplicate_owner,"/why-jvto/reviews/{id} + /why-jvto/our-team/{slug}",Review @id,jvto-ekosistem,jvto-ekosistem,"reviews.ts + schema.ts","Review 134 punya dua @id: '/#review-134' (itemReviewed -> #organization) di permalink, dan '.../reviews/134#crew-gufron' (nested di Person, tanpa itemReviewed) di halaman crew",Satu review = satu @id; halaman kedua mereferensikan bukan mendefinisikan ulang,open
C008,source_output_mismatch,"/ + /verify-jvto*",foundingDate vs teks tahun berdiri,jvto-ekosistem,jvto-web,"src/lib/schemas/entityGraph.ts:225; verify-jvto/page.tsx:23,612,1048; legal/page.tsx:72,87","JSON-LD homepage foundingDate 2015 (hardcode); teks tampak 'Since 2016' + 'incorporated 2016-01-01'; llms.txt '2015 brand/guesthouse era; TDUP 2023-02-11'",Satu rumusan dari ekosistem; hapus hardcode di web,open
C009,duplicate_owner,/why-jvto/our-team/{slug},Person @id,jvto-ekosistem,jvto-ekosistem,-,"27 @id Person berbeda untuk <=13 orang: 11x /#crew-{name}, 11x /our-team/{slug}#person, 3x /our-team/{slug}, 2 pola lain",Satu namespace @id per orang,open
C010,render_missing,/why-jvto/reviews/{id} + /entity,BreadcrumbList,-,-,"why-jvto/reviews/[id]/page.tsx; entity/page.tsx",223 dari 296 halaman tanpa BreadcrumbList,Emit breadcrumb seperti 73 halaman lain,open
C011,duplicate_owner,"/destinations/ijen-crater; /policy/booking-payment-cancellation; /policy/inclusions-exclusions; /policy/privacy; /verify-jvto",WebPage,-,-,-,"5 halaman mengemit 2 node WebPage (singleton watchlist framework)",Satu owner WebPage per halaman,open
C012,missing_owner,"/checkout; /my-booking",meta robots + sitemap,-,jvto-web,"checkout/page.tsx; my-booking/page.tsx","Keduanya index,follow + self-canonical tetapi tidak ada di sitemap.xml",Tetapkan indexable atau noindex secara eksplisit,open
