task_id,phase,issue_ref,url_or_pattern,template_file,element,action,acceptance_check,owner,priority,status
T001,architecture,-,semua route,src/lib/ecosystemContent/*.ts,transport,"Hardening server.mjs (auth atau allowlist + rate limit) dan ubah fallback readLocal() yang gagal diam menjadi kegagalan keras yang tidak dipanggang ke cache","server.mjs menolak request tanpa kredensial; loader yang gagal tidak menghasilkan notFound() yang ter-cache; uji dengan mematikan host di preview",BELUM DITETAPKAN,P1,Belum Dikerjakan
T002,source,C001,/tours/from-{origin}/{slug},src/lib/tourFaqs.ts,"NIB, SE.35, nama dokter, klaim harga, 9 FAQ spine","Pindahkan ke jvto-ekosistem; jvto-web membaca lewat loader","grep -rn '1102230032918\|SE.35' jvto-web/src -> 0 hasil; 9 FAQ tetap tampil di 17 PDP",BELUM DITETAPKAN,P1,Belum Dikerjakan
T003,compiler,C002+C003,/tours/from-{origin}/{slug},src/lib/schemas/buildTourSchemas.ts,FAQPage.mainEntity,"Emit hanya Q&A yang benar-benar dirender; hentikan pemetaan narrative_claims.pillar menjadi Question","schema_contract_check.csv: faq_parity=OK untuk 17 PDP; jumlah Question schema == jumlah tampil",BELUM DITETAPKAN,P1,Belum Dikerjakan
T004,compiler,C004,/tours/from-{origin}/{slug},src/lib/schemas/buildTourSchemas.ts,TouristAttraction,"Emit node hanya untuk step yang punya halaman /destinations/{slug} berstatus 200","Setiap TouristAttraction.url mengembalikan 200; 0 URL 404/410 di JSON-LD",BELUM DITETAPKAN,P1,Belum Dikerjakan
T005,compiler,C005,/why-jvto/reviews/{id},why-jvto/reviews/[id]/page.tsx,Product,"Hapus node Product stub, atau tautkan ke produk nyata lewat packageSlug","0 node Product dengan name 'Java Volcano Tour Package' di 222 permalink",BELUM DITETAPKAN,P2,Belum Dikerjakan
T006,compiler,C006,/entity,entity/page.tsx,"Organization JVTO, WebSite, BreadcrumbList","Emit node organisasi JVTO dan WebSite","schema_contract_check.csv: has_org_jvto=Y dan has_website=Y untuk /entity",BELUM DITETAPKAN,P1,Belum Dikerjakan
T007,compiler,C007+C009,"/why-jvto/reviews/{id}; /why-jvto/our-team/{slug}",reviews.ts + schema.ts,@id Review dan Person,"Satu @id per entitas; halaman kedua mereferensikan, tidak mendefinisikan ulang","Jumlah @id Person unik == jumlah crew (11 + 2 non-crew); setiap review punya tepat 1 @id",BELUM DITETAPKAN,P2,Belum Dikerjakan
T008,source,C008,"/ ; /verify-jvto*","entityGraph.ts; verify-jvto/*.tsx",foundingDate + teks tahun,"Satu rumusan dari ekosistem; hapus hardcode 2015 dan teks 2016 di web","grep -rn 'foundingDate' jvto-web/src -> hanya pembacaan dari loader; teks dan JSON-LD memakai rumusan yang sama",BELUM DITETAPKAN,P2,Belum Dikerjakan
T009,compiler,C010,/why-jvto/reviews/{id} + /entity,-,BreadcrumbList,Emit breadcrumb,schema_contract_check.csv: has_breadcrumb=Y untuk 296/296,BELUM DITETAPKAN,P3,Belum Dikerjakan
T010,compiler,C011,5 halaman,-,WebPage,Satu owner WebPage per halaman,schema_contract_check.csv: kolom singleton_violation kosong untuk 296/296,BELUM DITETAPKAN,P3,Belum Dikerjakan
T011,web,C012,"/checkout; /my-booking",checkout/page.tsx; my-booking/page.tsx,meta robots,Tetapkan indexable atau noindex secara eksplisit,"Keputusan tertulis + meta robots sesuai; kalau indexable, masuk sitemap",BELUM DITETAPKAN,P3,Belum Dikerjakan
T012,cleanup,-,-,jvto-ekosistem/package.json,npm scripts,"Hapus generate:registry, validate:registry, build:registry yang menunjuk file tidak ada","npm run <script> tidak ada yang gagal karena file hilang",BELUM DITETAPKAN,P3,Belum Dikerjakan
T013,cleanup,-,-,jvto-ekosistem,branch,"Hapus branch copilot/jvto-web-connection-overview dan copilot/use-chronicle-tips",git ls-remote --heads hanya menampilkan main,BELUM DITETAPKAN,P3,Belum Dikerjakan
T014,cleanup,-,-,jvto-ekosistem/state/goals.json,decisions + backlog,"Koreksi jvto-ops-repo-visibility ke public; tutup backlog sip-document-personal-data; 221 -> 222 review",goals.json tidak memuat pernyataan yang bertentangan dengan realita,BELUM DITETAPKAN,P2,Belum Dikerjakan
